run_id,wafer_id,thickness_mean_nm,wiwnu_pct,thickness_range_nm,dishing_nm,erosion_pct,particle_count_ge_50nm,scratch_count,electrical_res_ohm,leakage_na,yield_flag
RUN-001373,W-RUN-001373,802.54,3.141,18.39,7.32,2.707,51,2,0.015228,4.953,1
RUN-001374,W-RUN-001374,295.38,3.247,20.2,4.82,2.684,56,1,0.014327,6.088,1
RUN-001375,W-RUN-001375,308.66,3.223,21.16,6.67,0.435,68,2,0.015861,4.676,1
RUN-001376,W-RUN-001376,813.05,3.185,25.06,18.97,3.652,53,4,0.01633,5.358,1
RUN-001377,W-RUN-001377,327.36,3.229,18.29,20.08,2.792,58,2,0.017478,4.925,1
RUN-001378,W-RUN-001378,323.02,3.196,19.92,17.45,2.942,54,1,0.017232,6.448,1
RUN-001379,W-RUN-001379,309.81,3.194,18.76,10.75,1.399,69,0,0.015949,5.801,1
RUN-001380,W-RUN-001380,317.54,3.255,17.92,11.24,2.628,49,2,0.016769,7.789,1
RUN-001381,W-RUN-001381,315.01,3.224,20.28,16.72,2.744,42,0,0.016459,5.212,1
RUN-001382,W-RUN-001382,311.93,3.225,17.3,12.73,2.666,57,0,0.01628,6.274,1
RUN-001383,W-RUN-001383,302.64,3.202,24.35,7.04,1.903,72,0,0.015466,7.152,1
RUN-001384,W-RUN-001384,307.83,3.209,19.57,14.14,2.183,50,1,0.015507,4.629,1
RUN-001385,W-RUN-001385,801.36,3.24,21.52,16.96,3.635,35,1,0.015179,5.3,1
RUN-001386,W-RUN-001386,319.41,3.168,22.11,11.17,3.191,49,1,0.016926,4.839,1
RUN-001387,W-RUN-001387,795.67,3.16,17.88,16.2,2.761,45,3,0.0145,5.409,1
RUN-001388,W-RUN-001388,805.37,3.156,20.79,6.1,2.21,43,2,0.015521,5.727,1
RUN-001389,W-RUN-001389,818.83,3.158,20.14,20.64,3.63,43,0,0.01659,5.364,1
RUN-001390,W-RUN-001390,315.78,3.271,17.08,17.85,3.56,55,3,0.016659,2.108,1
RUN-001391,W-RUN-001391,810.27,3.213,13.79,15.79,2.916,30,2,0.016091,5.782,1
RUN-001392,W-RUN-001392,303.71,3.181,17.43,14.39,2.39,47,3,0.015407,6.173,1
RUN-001393,W-RUN-001393,313.78,3.283,17.97,8.4,2.444,46,2,0.016095,4.565,1
RUN-001394,W-RUN-001394,306.68,3.224,20.0,12.34,2.211,58,3,0.015708,5.544,1
RUN-001395,W-RUN-001395,304.05,3.231,23.88,9.91,1.92,51,1,0.015442,5.327,1
RUN-001396,W-RUN-001396,302.47,3.212,21.13,14.36,1.738,56,2,0.015247,6.16,1
RUN-001397,W-RUN-001397,305.86,3.166,25.98,8.77,2.072,64,2,0.015567,5.028,1
RUN-001398,W-RUN-001398,807.23,3.232,15.81,8.93,2.543,61,4,0.015954,6.413,1
RUN-001399,W-RUN-001399,311.43,3.177,20.62,15.47,1.504,40,4,0.016258,7.996,1
RUN-001400,W-RUN-001400,316.07,3.161,24.49,6.58,2.604,72,1,0.016463,4.52,1
RUN-001401,W-RUN-001401,821.62,3.223,20.95,17.96,3.419,53,2,0.017216,7.249,1
RUN-001402,W-RUN-001402,799.97,3.231,20.43,11.09,3.306,61,1,0.014968,5.356,1
RUN-001403,W-RUN-001403,318.26,3.242,22.37,16.39,3.224,47,3,0.016847,6.132,1
RUN-001404,W-RUN-001404,312.19,3.191,21.03,15.65,2.67,58,1,0.016038,5.27,1
RUN-001405,W-RUN-001405,316.97,3.199,19.86,16.0,2.318,48,0,0.016858,4.092,1
RUN-001406,W-RUN-001406,798.48,3.23,19.64,13.99,2.32,58,3,0.014804,7.068,1
RUN-001407,W-RUN-001407,810.12,3.258,22.88,7.24,2.669,41,1,0.015757,3.285,1
RUN-001408,W-RUN-001408,803.01,3.153,18.77,15.17,3.259,52,1,0.015381,7.767,1
RUN-001409,W-RUN-001409,308.85,3.236,18.38,11.95,1.635,34,2,0.015824,4.79,1
RUN-001410,W-RUN-001410,815.5,3.153,15.6,16.66,2.038,54,1,0.016566,5.783,1
RUN-001411,W-RUN-001411,304.73,3.172,21.04,9.86,1.154,81,1,0.015714,6.351,0
RUN-001412,W-RUN-001412,317.1,3.238,25.38,10.46,2.441,62,2,0.016644,5.031,1
RUN-001413,W-RUN-001413,311.47,3.178,15.9,10.29,2.453,51,2,0.016108,2.2,1
RUN-001414,W-RUN-001414,303.95,3.217,19.11,5.73,2.496,65,1,0.015281,5.083,1
RUN-001415,W-RUN-001415,804.06,3.239,23.96,20.49,3.211,44,3,0.015486,3.405,1
RUN-001416,W-RUN-001416,824.7,3.271,26.02,16.42,3.892,68,2,0.017319,5.159,1
RUN-001417,W-RUN-001417,300.31,3.247,21.49,5.6,2.166,36,0,0.014925,6.516,1
RUN-001418,W-RUN-001418,309.85,3.305,25.51,17.99,2.94,67,3,0.016129,5.016,1
RUN-001419,W-RUN-001419,307.33,3.209,17.69,14.39,4.27,64,0,0.015733,7.095,1
RUN-001420,W-RUN-001420,313.01,3.21,20.83,16.61,2.942,45,2,0.016271,4.182,1
RUN-001421,W-RUN-001421,306.04,3.179,17.01,18.83,3.292,63,0,0.015744,6.283,1
RUN-001422,W-RUN-001422,811.08,3.215,19.07,17.34,2.449,43,3,0.016058,5.487,1
RUN-001423,W-RUN-001423,801.66,3.181,24.21,14.7,2.703,74,2,0.015061,6.398,1
RUN-001424,W-RUN-001424,814.96,3.174,15.17,13.36,3.711,51,1,0.0163,2.783,1
RUN-001425,W-RUN-001425,810.25,3.236,19.34,7.51,1.187,63,5,0.015912,8.458,1
RUN-001426,W-RUN-001426,314.82,3.195,23.49,16.09,3.118,88,1,0.016469,6.015,0
RUN-001427,W-RUN-001427,812.39,3.184,18.48,3.01,1.937,31,2,0.016179,8.675,1
RUN-001428,W-RUN-001428,302.3,3.165,26.72,5.74,0.865,31,3,0.015367,0.673,1
RUN-001429,W-RUN-001429,309.66,3.218,21.97,12.51,1.533,51,1,0.01588,7.241,1
RUN-001430,W-RUN-001430,312.9,3.204,18.88,9.26,2.24,60,0,0.016298,5.274,1
RUN-001431,W-RUN-001431,317.0,3.227,23.17,16.82,3.431,67,2,0.016666,8.157,1
RUN-001432,W-RUN-001432,813.99,3.277,22.06,20.96,3.989,42,3,0.016463,3.939,1
RUN-001433,W-RUN-001433,308.55,3.157,16.34,15.47,2.177,57,1,0.015984,4.377,1
RUN-001434,W-RUN-001434,806.86,3.236,20.74,18.49,3.353,39,2,0.01578,4.217,1
RUN-001435,W-RUN-001435,809.56,3.201,22.73,13.17,4.186,34,1,0.015954,4.291,1
RUN-001436,W-RUN-001436,316.21,3.242,19.0,13.98,2.151,37,3,0.016655,2.62,1
RUN-001437,W-RUN-001437,820.05,3.212,23.62,17.99,4.002,24,1,0.016996,7.204,1
RUN-001438,W-RUN-001438,793.53,3.187,22.59,15.97,2.598,50,1,0.014311,4.769,1
RUN-001439,W-RUN-001439,305.23,3.218,24.53,8.41,2.77,59,1,0.015486,1.925,1
RUN-001440,W-RUN-001440,814.45,3.224,10.81,13.59,2.354,66,2,0.016525,4.968,1
RUN-001441,W-RUN-001441,810.59,3.198,18.73,9.16,3.122,31,1,0.016044,5.318,1
RUN-001442,W-RUN-001442,791.56,3.224,24.07,17.21,1.23,40,0,0.01414,5.109,1
RUN-001443,W-RUN-001443,804.92,3.229,22.32,20.44,4.333,51,1,0.015496,6.958,1
RUN-001444,W-RUN-001444,838.51,3.335,20.31,21.82,3.506,51,0,0.01889,5.445,1
RUN-001445,W-RUN-001445,300.97,3.156,22.42,5.77,1.01,60,0,0.015036,4.274,1
RUN-001446,W-RUN-001446,803.17,3.282,17.74,12.05,3.57,73,1,0.015294,8.408,1
RUN-001447,W-RUN-001447,308.16,3.158,16.8,7.29,2.522,50,3,0.015801,3.906,1
RUN-001448,W-RUN-001448,799.23,3.208,19.31,7.77,2.234,49,1,0.015073,3.896,1
RUN-001449,W-RUN-001449,810.62,3.209,21.33,10.57,1.237,48,2,0.016015,4.536,1
RUN-001450,W-RUN-001450,293.8,3.216,22.11,5.14,1.785,40,1,0.014464,5.407,1
RUN-001451,W-RUN-001451,310.39,3.213,22.54,11.7,2.348,67,3,0.016059,7.28,1
RUN-001452,W-RUN-001452,817.98,3.189,21.94,14.86,5.225,24,1,0.016905,5.128,1
RUN-001453,W-RUN-001453,818.54,3.27,22.2,13.87,2.813,63,0,0.01665,2.262,1
RUN-001454,W-RUN-001454,324.49,3.228,18.42,23.16,3.685,46,1,0.017625,4.266,1
RUN-001455,W-RUN-001455,802.22,3.189,16.28,8.38,1.09,57,1,0.015325,5.392,1
RUN-001456,W-RUN-001456,297.9,3.255,20.03,12.01,3.043,53,0,0.015033,6.504,1
RUN-001457,W-RUN-001457,314.45,3.286,17.03,14.64,2.997,57,0,0.016449,4.082,1
RUN-001458,W-RUN-001458,307.31,3.244,18.16,17.12,3.032,44,4,0.015922,5.786,1
RUN-001459,W-RUN-001459,307.85,3.172,21.84,8.2,2.81,64,0,0.015817,5.215,1
RUN-001460,W-RUN-001460,290.07,3.257,18.33,6.75,1.525,37,3,0.013886,4.581,1
RUN-001461,W-RUN-001461,315.21,3.185,22.2,14.87,2.417,60,2,0.016538,1.82,1
RUN-001462,W-RUN-001462,795.2,3.208,14.27,8.97,1.322,46,2,0.01459,6.285,1
RUN-001463,W-RUN-001463,315.87,3.272,20.27,7.61,1.61,38,1,0.016516,4.642,1
RUN-001464,W-RUN-001464,312.61,3.208,18.03,10.23,1.805,51,2,0.016321,4.111,1
RUN-001465,W-RUN-001465,309.1,3.223,16.94,9.33,1.699,43,3,0.015844,6.362,1
RUN-001466,W-RUN-001466,795.79,3.201,28.1,14.92,3.453,57,1,0.014566,4.845,1
RUN-001467,W-RUN-001467,306.88,3.199,16.77,17.01,2.458,55,3,0.015799,3.449,1
RUN-001468,W-RUN-001468,819.23,3.205,18.81,15.93,3.032,44,1,0.016761,4.477,1
RUN-001469,W-RUN-001469,317.51,3.166,21.28,12.11,2.628,46,2,0.016741,6.588,1
RUN-001470,W-RUN-001470,293.28,3.179,25.62,14.57,2.796,68,2,0.014335,6.185,1
RUN-001471,W-RUN-001471,303.02,3.185,23.29,11.59,2.013,61,1,0.015219,5.182,1
RUN-001472,W-RUN-001472,308.97,3.243,25.09,6.16,0.581,46,2,0.01588,5.69,1
RUN-001473,W-RUN-001473,814.46,3.233,16.51,17.97,3.423,41,2,0.016522,4.273,1
RUN-001474,W-RUN-001474,294.31,3.178,18.37,20.64,4.291,66,1,0.014351,10.518,1
RUN-001475,W-RUN-001475,312.68,3.215,15.71,14.31,2.438,59,2,0.01621,6.628,1
RUN-001476,W-RUN-001476,329.61,3.239,22.15,18.05,2.239,53,2,0.018076,2.472,1
RUN-001477,W-RUN-001477,825.55,3.209,21.09,14.0,4.242,70,3,0.017409,5.143,1
RUN-001478,W-RUN-001478,795.18,3.236,27.65,5.7,1.587,48,1,0.014842,5.236,1
RUN-001479,W-RUN-001479,809.91,3.192,14.42,14.33,2.483,64,2,0.016105,6.276,1
RUN-001480,W-RUN-001480,292.73,3.279,23.22,3.55,1.633,32,0,0.014286,3.474,1
RUN-001481,W-RUN-001481,308.17,3.178,19.72,15.12,2.505,47,0,0.015838,4.391,1
RUN-001482,W-RUN-001482,317.92,3.275,19.24,18.28,3.092,51,1,0.016999,5.581,1
RUN-001483,W-RUN-001483,815.75,3.204,17.54,13.18,3.306,67,2,0.016554,3.871,1
RUN-001484,W-RUN-001484,804.42,3.172,22.55,19.31,3.088,30,1,0.015343,5.506,1
RUN-001485,W-RUN-001485,799.34,3.244,18.95,13.23,3.242,59,2,0.015055,5.724,1
RUN-001486,W-RUN-001486,311.96,3.234,22.58,7.4,4.22,27,3,0.015972,5.309,1
RUN-001487,W-RUN-001487,324.38,3.202,19.46,17.86,3.612,31,1,0.017324,4.978,1
RUN-001488,W-RUN-001488,305.3,3.243,19.73,10.94,1.459,43,3,0.015384,3.453,1
RUN-001489,W-RUN-001489,310.05,3.174,18.07,11.71,2.298,44,1,0.016131,5.658,1
RUN-001490,W-RUN-001490,807.32,3.202,19.31,19.23,3.541,34,0,0.015649,6.459,1
RUN-001491,W-RUN-001491,309.7,3.193,18.36,6.5,1.977,49,3,0.015782,6.118,1
RUN-001492,W-RUN-001492,306.89,3.225,23.97,13.37,1.804,63,1,0.015756,6.209,1
RUN-001493,W-RUN-001493,294.87,3.213,22.1,9.68,1.215,54,1,0.014574,5.172,1
RUN-001494,W-RUN-001494,802.51,3.207,15.25,10.45,2.348,38,0,0.015222,6.251,1
RUN-001495,W-RUN-001495,802.44,3.197,21.27,17.3,2.673,58,0,0.015249,2.935,1
RUN-001496,W-RUN-001496,303.86,3.271,23.59,14.31,0.969,56,0,0.015416,5.404,1
RUN-001497,W-RUN-001497,302.18,3.227,18.57,22.84,3.297,70,4,0.015205,6.05,1
RUN-001498,W-RUN-001498,293.97,3.165,20.05,11.65,2.81,43,3,0.014402,6.035,1
RUN-001499,W-RUN-001499,303.9,3.184,20.73,13.43,3.436,53,1,0.015579,4.097,1
RUN-001500,W-RUN-001500,300.89,3.238,26.89,14.16,2.406,73,1,0.015231,2.954,1
RUN-001501,W-RUN-001501,310.78,3.249,23.33,18.95,3.232,59,1,0.016178,5.776,1
RUN-001502,W-RUN-001502,307.9,3.276,24.76,16.75,2.54,73,1,0.015715,3.495,1
RUN-001503,W-RUN-001503,795.61,3.272,20.57,6.1,2.623,65,1,0.014608,4.236,1
RUN-001504,W-RUN-001504,301.74,3.181,19.52,1.8,0.822,39,0,0.0153,5.456,1
RUN-001505,W-RUN-001505,802.84,3.191,19.56,14.28,2.107,28,4,0.015189,5.659,1
RUN-001506,W-RUN-001506,803.42,3.252,21.78,16.78,3.814,35,1,0.01541,3.619,1
RUN-001507,W-RUN-001507,308.48,3.155,17.1,14.35,3.252,37,4,0.015675,5.639,1
RUN-001508,W-RUN-001508,303.01,3.213,20.22,14.2,2.406,34,1,0.0154,4.234,1
RUN-001509,W-RUN-001509,803.08,3.288,16.87,15.26,1.359,24,0,0.015358,3.874,1
RUN-001510,W-RUN-001510,294.35,3.344,16.56,7.88,2.038,55,3,0.014315,5.066,1
RUN-001511,W-RUN-001511,805.39,3.309,23.47,12.7,2.782,20,1,0.015456,6.069,1
RUN-001512,W-RUN-001512,314.54,3.221,18.66,11.95,2.642,49,2,0.016591,3.752,1
RUN-001513,W-RUN-001513,304.18,3.172,18.8,18.56,2.921,32,1,0.015394,5.831,1
RUN-001514,W-RUN-001514,819.91,3.179,22.39,15.83,3.647,59,1,0.016982,4.123,1
RUN-001515,W-RUN-001515,805.85,3.298,17.49,8.25,2.185,50,2,0.01557,4.998,1
RUN-001516,W-RUN-001516,822.73,3.196,21.03,16.23,3.612,47,3,0.017128,7.347,1
RUN-001517,W-RUN-001517,801.05,3.204,20.89,10.34,2.599,38,3,0.015148,2.822,1
RUN-001518,W-RUN-001518,807.81,3.213,19.42,2.76,2.63,56,1,0.015771,4.675,1
RUN-001519,W-RUN-001519,808.12,3.222,23.63,12.24,1.741,47,2,0.015865,4.449,1
RUN-001520,W-RUN-001520,804.72,3.233,26.15,11.42,2.03,25,2,0.015494,4.711,1
RUN-001521,W-RUN-001521,310.84,3.188,22.33,9.78,2.086,71,0,0.016135,5.347,1
RUN-001522,W-RUN-001522,317.63,3.194,22.13,8.03,2.405,64,1,0.01691,7.253,1
RUN-001523,W-RUN-001523,314.3,3.218,26.8,11.89,2.658,42,2,0.016506,8.757,1
RUN-001524,W-RUN-001524,299.4,3.226,15.56,10.61,1.885,58,1,0.0149,5.79,1
RUN-001525,W-RUN-001525,315.49,3.249,22.46,9.49,3.788,77,2,0.016561,2.761,1
RUN-001526,W-RUN-001526,805.42,3.216,20.47,11.52,2.862,36,2,0.015652,4.907,1
RUN-001527,W-RUN-001527,300.05,3.274,21.37,11.08,2.004,53,2,0.015001,4.646,1
RUN-001528,W-RUN-001528,326.1,3.204,20.7,19.69,3.291,75,2,0.017551,4.247,1
RUN-001529,W-RUN-001529,282.54,3.187,13.81,9.09,1.71,52,2,0.013305,7.001,1
RUN-001530,W-RUN-001530,816.3,3.241,15.52,14.72,3.384,41,3,0.016645,6.672,1
RUN-001531,W-RUN-001531,304.41,3.295,23.53,6.13,0.0,60,2,0.015544,5.087,1
RUN-001532,W-RUN-001532,303.6,3.245,17.14,15.62,1.743,51,0,0.015404,4.725,1
RUN-001533,W-RUN-001533,306.77,3.233,18.15,16.67,3.546,68,1,0.015768,4.345,1
RUN-001534,W-RUN-001534,810.27,3.178,21.04,9.7,2.445,37,0,0.016111,6.746,1
RUN-001535,W-RUN-001535,807.44,3.223,22.21,5.7,2.352,43,3,0.015697,5.552,1
RUN-001536,W-RUN-001536,294.99,3.19,20.28,6.12,1.028,55,1,0.014543,6.735,1
RUN-001537,W-RUN-001537,813.48,3.193,19.0,18.25,4.07,57,2,0.016282,5.557,1
RUN-001538,W-RUN-001538,302.67,3.236,20.78,7.26,2.218,37,3,0.015264,2.559,1
RUN-001539,W-RUN-001539,805.88,3.283,20.81,17.51,3.733,44,0,0.015675,3.166,1
RUN-001540,W-RUN-001540,801.2,3.247,23.4,12.39,2.888,43,2,0.015222,1.99,1
RUN-001541,W-RUN-001541,820.08,3.223,23.3,11.29,2.988,66,1,0.017041,4.944,1
RUN-001542,W-RUN-001542,795.79,3.161,21.46,14.63,2.272,55,4,0.01459,5.457,1
RUN-001543,W-RUN-001543,810.57,3.202,17.6,18.37,3.664,69,5,0.015996,5.481,1
RUN-001544,W-RUN-001544,801.84,3.226,19.84,6.88,2.04,52,4,0.015245,6.553,1
RUN-001545,W-RUN-001545,317.98,3.231,20.52,17.2,2.473,40,3,0.016688,3.883,1
RUN-001546,W-RUN-001546,300.76,3.173,22.96,6.65,1.653,64,2,0.015022,7.506,1
RUN-001547,W-RUN-001547,300.82,3.212,20.03,13.94,2.77,53,1,0.015024,6.687,1
RUN-001548,W-RUN-001548,314.25,3.323,19.82,12.43,2.926,59,3,0.016435,4.574,1
RUN-001549,W-RUN-001549,818.89,3.27,26.6,10.37,3.07,80,1,0.016845,3.431,0
RUN-001550,W-RUN-001550,816.27,3.197,16.78,17.4,3.3,48,2,0.016695,3.686,1
RUN-001551,W-RUN-001551,299.9,3.17,18.02,11.88,3.009,54,1,0.014888,7.795,1
RUN-001552,W-RUN-001552,825.83,3.202,16.64,16.26,3.998,54,4,0.017453,8.748,1
RUN-001553,W-RUN-001553,807.26,3.281,22.37,11.58,3.004,39,1,0.015852,3.741,1
RUN-001554,W-RUN-001554,323.27,3.203,18.39,20.01,2.586,53,0,0.017249,6.686,1
RUN-001555,W-RUN-001555,305.6,3.188,19.83,4.42,2.485,53,2,0.015586,5.564,1
RUN-001556,W-RUN-001556,292.3,3.236,17.07,6.65,1.564,59,4,0.014121,4.514,1
RUN-001557,W-RUN-001557,296.82,3.307,23.4,5.49,0.806,48,1,0.014552,5.566,1
RUN-001558,W-RUN-001558,310.26,3.218,22.9,17.76,2.839,49,4,0.016246,5.288,1
RUN-001559,W-RUN-001559,314.92,3.203,20.52,11.13,3.044,48,2,0.016642,2.571,1
RUN-001560,W-RUN-001560,810.5,3.238,18.48,7.64,1.933,44,2,0.016103,6.19,1
RUN-001561,W-RUN-001561,797.8,3.257,20.04,11.14,2.582,66,0,0.014689,5.3,1
RUN-001562,W-RUN-001562,794.74,3.283,14.55,5.94,2.332,35,1,0.014548,9.507,1
RUN-001563,W-RUN-001563,309.49,3.208,21.16,10.15,2.422,57,3,0.01591,7.86,1
RUN-001564,W-RUN-001564,821.5,3.193,22.84,16.34,3.959,55,4,0.017101,4.109,1
RUN-001565,W-RUN-001565,308.84,3.301,21.32,12.44,2.693,66,0,0.016063,8.454,1
RUN-001566,W-RUN-001566,805.71,3.195,18.31,11.21,3.454,79,3,0.015705,3.296,1
RUN-001567,W-RUN-001567,800.53,3.211,18.11,16.56,3.038,50,0,0.015109,4.187,1
RUN-001568,W-RUN-001568,319.28,3.223,17.04,8.14,1.924,59,3,0.016879,5.038,1
RUN-001569,W-RUN-001569,308.68,3.198,17.8,12.04,1.499,49,1,0.015989,4.7,1
RUN-001570,W-RUN-001570,303.19,3.271,19.24,12.28,2.623,43,1,0.015316,5.753,1
RUN-001571,W-RUN-001571,797.72,3.248,16.1,7.1,2.353,42,3,0.014828,6.143,1
RUN-001572,W-RUN-001572,809.07,3.214,21.5,12.08,3.728,49,2,0.015797,5.805,1
RUN-001573,W-RUN-001573,317.32,3.226,20.73,6.82,2.936,54,2,0.016655,6.469,1
RUN-001574,W-RUN-001574,801.8,3.295,23.57,10.49,2.822,57,4,0.015258,6.8,1
RUN-001575,W-RUN-001575,310.98,3.236,18.61,12.21,2.601,69,1,0.016124,6.47,1
RUN-001576,W-RUN-001576,812.23,3.188,20.46,6.72,1.849,36,1,0.016079,7.801,1
RUN-001577,W-RUN-001577,814.94,3.233,19.48,18.94,3.46,55,2,0.016523,4.963,1
RUN-001578,W-RUN-001578,798.51,3.21,22.89,14.94,2.709,53,3,0.014746,4.487,1
RUN-001579,W-RUN-001579,805.87,3.235,19.07,23.25,3.881,79,1,0.01552,3.416,1
RUN-001580,W-RUN-001580,300.36,3.166,21.23,4.68,1.677,66,3,0.015072,2.441,1
RUN-001581,W-RUN-001581,809.25,3.268,18.13,14.99,3.655,49,2,0.016046,3.019,1
RUN-001582,W-RUN-001582,305.4,3.166,15.95,13.76,2.564,70,2,0.015666,7.924,1
RUN-001583,W-RUN-001583,318.39,3.183,21.93,12.95,2.635,66,5,0.016826,4.916,1
RUN-001584,W-RUN-001584,312.02,3.196,13.54,14.4,2.798,39,1,0.016311,5.361,1
RUN-001585,W-RUN-001585,313.2,3.201,21.81,17.58,2.899,50,2,0.01597,5.985,1
RUN-001586,W-RUN-001586,812.82,3.179,16.89,16.68,2.866,51,2,0.01652,5.905,1
RUN-001587,W-RUN-001587,805.5,3.219,22.26,15.49,3.353,47,2,0.015678,4.502,1
RUN-001588,W-RUN-001588,304.98,3.25,24.62,4.24,1.927,60,1,0.015611,4.241,1
RUN-001589,W-RUN-001589,805.27,3.217,27.2,12.7,2.348,58,3,0.015564,3.613,1
RUN-001590,W-RUN-001590,811.27,3.209,20.54,21.61,3.064,56,2,0.016083,9.442,1
RUN-001591,W-RUN-001591,311.64,3.194,22.85,12.65,4.197,86,2,0.016195,1.743,0
RUN-001592,W-RUN-001592,315.25,3.192,18.61,5.81,2.773,48,1,0.016376,5.627,1
RUN-001593,W-RUN-001593,806.81,3.248,21.85,9.99,1.469,65,0,0.015843,3.832,1
RUN-001594,W-RUN-001594,311.4,3.289,19.24,9.68,2.982,61,1,0.016122,5.782,1
RUN-001595,W-RUN-001595,803.7,3.184,22.51,4.8,3.243,69,2,0.015377,7.079,1
RUN-001596,W-RUN-001596,822.55,3.186,19.3,12.59,2.272,42,0,0.01722,7.029,1
RUN-001597,W-RUN-001597,290.48,3.221,19.96,20.17,4.047,56,0,0.014078,5.058,1
RUN-001598,W-RUN-001598,306.46,3.191,20.16,12.88,2.92,53,3,0.015671,5.745,1
RUN-001599,W-RUN-001599,800.79,3.28,19.79,7.3,2.816,23,3,0.015118,4.104,1
RUN-001600,W-RUN-001600,323.48,3.181,20.53,16.58,2.748,58,4,0.017311,5.567,1
RUN-001601,W-RUN-001601,811.68,3.167,18.4,20.76,3.234,42,5,0.016349,5.163,1
RUN-001602,W-RUN-001602,303.86,3.234,13.09,16.52,3.173,55,1,0.01549,4.693,1
RUN-001603,W-RUN-001603,316.65,3.208,21.66,14.41,3.853,41,5,0.016683,7.284,1
RUN-001604,W-RUN-001604,798.8,3.197,15.16,13.5,3.685,45,2,0.01486,6.644,1
RUN-001605,W-RUN-001605,317.67,3.214,23.52,18.58,3.624,55,2,0.016757,3.845,1
RUN-001606,W-RUN-001606,298.59,3.218,19.69,5.78,1.556,40,0,0.014873,4.335,1
RUN-001607,W-RUN-001607,316.59,3.224,20.85,21.49,3.552,77,2,0.016598,4.488,1
RUN-001608,W-RUN-001608,291.5,3.256,24.61,16.14,2.689,62,1,0.014161,4.549,1
RUN-001609,W-RUN-001609,314.68,3.273,21.45,14.78,3.599,76,1,0.016401,5.477,1
RUN-001610,W-RUN-001610,816.69,3.201,20.1,17.37,3.85,48,1,0.016733,5.05,1
RUN-001611,W-RUN-001611,314.04,3.3,14.38,17.47,3.722,56,2,0.016347,4.868,1
RUN-001612,W-RUN-001612,810.71,3.141,19.54,18.28,3.89,46,4,0.016062,4.469,1
RUN-001613,W-RUN-001613,816.01,3.183,17.79,20.01,3.469,51,1,0.016622,6.213,1
RUN-001614,W-RUN-001614,808.04,3.197,15.24,22.83,2.962,55,4,0.015778,5.714,1
RUN-001615,W-RUN-001615,308.75,3.275,18.94,11.85,2.822,35,4,0.015881,7.927,1
RUN-001616,W-RUN-001616,815.44,3.194,22.88,15.94,3.485,59,2,0.016634,6.43,1
RUN-001617,W-RUN-001617,794.0,3.183,23.77,12.08,1.406,66,3,0.014232,5.836,1
RUN-001618,W-RUN-001618,322.5,3.313,15.63,17.13,3.75,59,0,0.017277,4.965,1
RUN-001619,W-RUN-001619,323.8,3.181,18.41,11.54,3.618,54,0,0.017266,5.851,1
RUN-001620,W-RUN-001620,809.01,3.2,22.21,14.02,3.27,71,1,0.015872,4.618,1
RUN-001621,W-RUN-001621,792.77,3.227,16.39,13.41,2.354,29,2,0.014243,7.17,1
RUN-001622,W-RUN-001622,316.75,3.156,20.04,16.95,3.518,62,1,0.016546,6.889,1
RUN-001623,W-RUN-001623,801.02,3.298,22.71,13.55,2.762,47,1,0.014955,4.625,1
RUN-001624,W-RUN-001624,319.46,3.239,23.99,17.02,2.83,71,1,0.016789,5.607,1
RUN-001625,W-RUN-001625,815.25,3.191,21.65,15.14,4.186,57,2,0.016431,3.305,1
RUN-001626,W-RUN-001626,825.36,3.222,18.97,14.57,3.138,53,1,0.017509,7.334,1
RUN-001627,W-RUN-001627,304.29,3.19,24.26,15.15,2.834,39,2,0.015486,3.422,1
RUN-001628,W-RUN-001628,307.21,3.182,26.4,8.56,3.283,47,2,0.015685,7.162,1
RUN-001629,W-RUN-001629,305.14,3.184,24.53,15.86,1.677,69,2,0.015513,5.861,1
RUN-001630,W-RUN-001630,308.67,3.272,20.4,11.66,2.495,63,1,0.015937,4.7,1
RUN-001631,W-RUN-001631,297.29,3.295,16.5,10.18,2.257,51,3,0.014758,4.896,1
RUN-001632,W-RUN-001632,817.01,3.26,16.5,10.71,3.16,54,1,0.016708,4.847,1
RUN-001633,W-RUN-001633,313.27,3.233,19.11,14.88,2.335,73,2,0.016274,7.92,1
RUN-001634,W-RUN-001634,814.52,3.256,22.65,16.27,3.656,51,0,0.01641,3.817,1
RUN-001635,W-RUN-001635,808.91,3.273,19.18,17.56,4.602,64,1,0.015766,4.727,1
RUN-001636,W-RUN-001636,811.29,3.177,18.71,12.94,2.372,38,1,0.016197,5.254,1
RUN-001637,W-RUN-001637,309.77,3.22,22.48,16.62,3.281,65,0,0.016137,3.421,1
RUN-001638,W-RUN-001638,310.82,3.269,23.13,16.27,2.622,42,3,0.01598,4.752,1
RUN-001639,W-RUN-001639,304.71,3.219,29.81,19.32,2.966,65,2,0.015374,2.07,1
RUN-001640,W-RUN-001640,318.37,3.135,19.59,18.23,2.938,62,0,0.016877,3.725,1
RUN-001641,W-RUN-001641,311.87,3.174,18.5,20.79,2.271,55,2,0.01629,6.23,1
RUN-001642,W-RUN-001642,310.01,3.196,18.28,5.55,1.198,53,4,0.016117,5.215,1
RUN-001643,W-RUN-001643,307.76,3.223,25.05,7.26,1.033,67,1,0.01578,4.863,1
RUN-001644,W-RUN-001644,313.9,3.192,22.38,2.73,1.628,54,2,0.016398,4.985,1
